x;y;kn;p;m;grainMass
1,7922;206,5434;179,3292;21,4343;0,1807;66,9841
1,8;207,168;179,8438;21,4947;0,1812;65,5501
1,8079;207,7925;180,3584;21,5551;0,1817;64,112
1,8158;208,417;180,8731;21,6155;0,1822;62,6698
1,8237;209,0415;181,3877;21,676;0,1827;61,2234
1,8315;209,6659;181,9023;21,7364;0,1832;59,773
1,8394;210,2902;182,4169;21,7968;0,1837;58,3184
1,8473;210,9145;182,9315;21,8572;0,1843;56,8597
1,8551;211,5388;183,4461;21,9176;0,1848;55,3969
1,863;212,163;183,9608;21,978;0,1853;53,93
1,8709;212,7872;184,4754;22,0383;0,1858;52,459
1,8788;213,4114;184,99;22,0987;0,1863;50,9839
1,8866;214,0355;185,5046;22,1591;0,1868;49,5047
1,8945;214,6595;186,0192;22,2195;0,1873;48,0214
1,9024;215,2836;186,5338;22,2798;0,1878;46,5339
1,9103;215,9075;187,0485;22,3402;0,1883;45,0424
1,9181;216,5315;187,5631;22,4006;0,1888;43,5467
1,926;217,1554;188,0777;22,4609;0,1893;42,047
1,9339;217,7792;188,5923;22,5213;0,1899;40,5431
1,9418;218,403;189,1069;22,5816;0,1904;39,0351
1,9496;219,0268;189,6216;22,642;0,1909;37,523
1,9575;219,6505;190,1362;22,7023;0,1914;36,0068
1,9654;220,2742;190,6508;22,7627;0,1919;34,4865
1,9733;220,8978;191,1654;22,823;0,1924;32,9621
1,9811;221,5214;191,68;22,8833;0,1929;31,4336
1,989;222,145;192,1946;22,9437;0,1934;29,9009
1,9969;222,7685;192,7093;23,004;0,1939;28,3642
2,0048;223,392;193,2239;23,0643;0,1944;26,8233
2,0126;224,0154;193,7385;23,1246;0,1949;25,2783
2,0205;224,6388;194,2531;23,1849;0,1955;23,7293
2,0284;225,2622;194,7677;23,2452;0,196;22,1761
2,0363;225,8855;195,2824;23,3055;0,1965;20,6188
2,0442;226,5087;195,797;23,3658;0,197;19,0574
2,052;227,132;196,3116;23,4261;0,1975;17,4919
2,0599;227,7552;196,8262;23,4864;0,198;15,9222
2,0678;228,3783;197,3408;23,5467;0,1985;14,3485
2,0757;229,0014;197,8554;23,607;0,199;12,7707
2,0836;229,6245;198,3701;23,6673;0,1995;11,1887
2,0914;230,2475;198,8847;23,7275;0,2;9,6027
2,0993;230,8705;199,3993;23,7878;0,2005;8,0125
2,1072;231,4934;199,9139;23,8481;0,2011;6,4182
2,1151;232,1163;200,4285;23,9083;0,2016;4,8198
2,123;232,7392;200,9432;23,9686;0,2021;3,2173
2,1308;233,362;201,4578;24,0288;0,2026;1,6107
2,1387;233,9848;201,9724;24,0891;0,2031;0
2,1401;195,4747;0;20,3635;0,1904;0
2,1415;162,6809;0;17,1908;0,1777;0
2,143;134,959;0;14,4892;0,165;0
2,1444;112,0058;0;12,1885;0,1523;0
2,1458;92,776;0;10,2294;0,1396;0
2,1472;76,6778;0;8,561;0,1269;0
2,1486;63,212;0;7,1403;0,1142;0
2,1501;51,9572;0;5,9305;0,1015;0
2,1515;42,5583;0;4,9003;0,0888;0
2,1529;34,7157;0;4,023;0,0762;0
2,1543;28,1767;0;3,2759;0,0635;0
2,1557;22,728;0;2,6397;0,0508;0
2,1571;18,1893;0;2,098;0,0381;0
2,1586;14,4076;0;1,6366;0,0254;0
2,16;11,2525;0;1,2438;0,0127;0
2,1614;0;0;0;0;0
